station,lat,lng,bin
Allawah Station,-33.9697109,151.1145008,4
Arncliffe Station,-33.9362414,151.1472922,3
Artarmon Station,-33.8088311,151.1851236,5
Ashfield Station,-33.8876077,151.1258609,6
Asquith Station,-33.6886932,151.1081485,2
Auburn Station,-33.8491889,151.0328916,6
Banksia Station,-33.9453067,151.1404131,3
Bankstown Station,-33.917854,151.034149,6
Bardwell Park Station,-33.9315724,151.1248947,2
Beecroft Station,-33.7496856,151.066388,3
Bella Vista Station,-33.730568,150.944016,2
Belmore Station,-33.917181,151.0883315,4
Berala Station,-33.8715545,151.0322785,3
Berowra Station,-33.6235453,151.1531536,2
Beverly Hills Station,-33.9490339,151.0811685,3
Bexley North Station,-33.9375236,151.1135141,2
Birrong Station,-33.8932932,151.0240292,2
Blacktown Station,-33.768589,150.9074192,6
Bondi Junction Station,-33.8910387,151.2484687,6
Burwood Station,-33.8772471,151.1043119,6
Cabramatta Station,-33.8945914,150.9391223,5
Campbelltown Station,-34.0640915,150.8140653,5
Campsie Station,-33.9104388,151.1033663,5
Canley Vale Station,-33.8871636,150.9436055,3
Canterbury Station,-33.9118969,151.1185588,3
Caringbah Station,-34.0415877,151.1225723,4
Carlton Station,-33.9682313,151.1240111,4
Castle Hill Station,-33.7316246,151.0073179,2
Central Station,-33.8826209,151.2065819,6
Chatswood Station,-33.7980105,151.1808539,6
Cheltenham Station,-33.7557491,151.0785565,2
Cherrybrook Station,-33.7366921,151.0319586,2
Chester Hill Station,-33.8835918,150.9998507,2
Circular Quay Station,-33.8611651,151.210709,6
Concord West Station,-33.8484989,151.085587,3
Cronulla Station,-34.0557489,151.1515177,3
Croydon Station,-33.8832106,151.1151049,3
Domestic Station,-33.9336119,151.1810645,5
Doonside Station,-33.7637473,150.869173,4
Dulwich Hill Station,-33.9110992,151.1411736,3
Eastwood Station,-33.7901004,151.0821577,5
Edgecliff Station,-33.8797328,151.2367353,6
Edmondson Park Station,-33.9692834,150.85866,2
Engadine Station,-34.0676654,151.0147425,2
Epping Station,-33.7727196,151.0820495,6
Erskineville Station,-33.9000757,151.1855598,3
Fairfield Station,-33.8723854,150.9568218,5
Flemington Station,-33.8649524,151.0701872,5
Glenfield Station,-33.9722305,150.8930846,5
Gordon Station,-33.7557663,151.1543614,5
Gosford Station,-33.4234751,151.3417697,5
Granville Station,-33.8327711,151.0119323,5
Green Square Station,-33.9062418,151.2024545,6
Guildford Station,-33.8542294,150.9844122,4
Gymea Station,-34.0348787,151.0854209,3
Harris Park Station,-33.8233344,151.0076421,3
Hills Showground Station,-33.7279085,150.9870149,2
Holsworthy Station,-33.9630563,150.9567224,4
Homebush Station,-33.8668304,151.0865184,4
Hornsby Station,-33.7034846,151.098357,6
Hurlstone Park Station,-33.9101755,151.1324861,2
Hurstville Station,-33.9672608,151.1024006,6
Ingleburn Station,-33.997714,150.8641549,4
International Station,-33.9349888,151.1658066,5
Jannali Station,-34.0158974,151.0645506,4
Kellyville Station,-33.7134446,150.9351156,2
Killara Station,-33.7654796,151.1616908,3
Kings Cross Station,-33.874508,151.222061,6
Kingsgrove Station,-33.940597,151.1005167,3
Kingswood Station,-33.7583835,150.7204858,3
Kirrawee Station,-34.0349649,151.0714683,2
Kogarah Station,-33.962728,151.1324438,6
Lakemba Station,-33.9201175,151.0758525,5
Leppington Station,-33.9544101,150.8080079,3
Leumeah Station,-34.0507788,150.8306041,4
Lewisham Station,-33.8932485,151.1474277,4
Lidcombe Station,-33.8636195,151.0447322,6
